age,bmi
1.9863,18.1937
3.0056,17.3033
3.5078,17.0448
3.9948,16.9011
4.497,16.815
4.984,16.8437
5.4862,16.8437
5.9885,16.9299
6.4908,17.1022
7.0084,17.3607
7.4955,17.6192
7.9674,17.8778
8.4849,18.1363
9.4896,18.8831
9.9768,19.2852
10.5096,19.6874
10.9968,20.0895
11.5144,20.5204
11.9863,20.8938
12.9911,21.7555
13.9807,22.5885
14.9854,23.3928
16.0054,24.1396
16.9797,24.9152
17.9844,25.5184
19.0044,26.2939
