age,bmi
2,20.4904
2.5025,19.9739
2.9898,19.6869
3.5076,19.5721
3.9949,19.5721
4.4975,19.7156
4.9848,20.0026
5.5025,20.3756
5.9898,20.6913
6.5076,21.2366
7.0254,21.8106
7.5127,22.3846
7.9848,22.9872
8.4873,23.6186
9.0051,24.3361
9.4924,24.9962
10.0102,25.6276
10.5279,26.3163
11,26.9764
11.5025,27.6365
11.9898,28.2392
12.5076,28.7844
12.9949,29.3584
13.5127,29.9611
13.9848,30.4777
14.4873,30.9369
14.9898,31.4534
16.0254,32.3144
16.9848,33.2041
