sex,agemos,L,M,S,sigma,P3,P5,P10,P25,P50,P75,P85,P90,P95,P98,P99,P99_9,P99_99,pct120ofP95,Z2neg,Z1_5neg,Z1neg,Z0_5neg,Z0,Z0_5,Z1,Z1_5,Z2,Z2_5,Z3,Z3_5,Z4,Z4_5,Z5
2,201.5,-2.191457792,20.79994337,0.148015249,6.756311,16.7369,17.113,17.7489,19.0043,20.7999,23.2805,25.0764,26.5796,29.4569,35.1432,38.1155,45.1745,50.3355,35.348339,16.5566,17.3577,18.2973,19.4212,20.7999,22.5492,24.8753,28.1948,34.5046,39.8442,44.3988,48.5783,52.5425,56.3696,60.1036
2,202.5,-2.199583649,20.83578051,0.147912564,6.784158,16.7705,17.1467,17.7828,19.0387,20.8358,23.3199,25.1197,26.6273,29.5161,35.2258,38.2103,45.2984,50.4807,35.419274,16.5902,17.3915,18.3314,19.4559,20.8358,22.5873,24.9181,28.2483,34.5845,39.9461,44.5195,48.7163,52.6967,56.5397,60.289
2,203.5,-2.207681525,20.87105449,0.147815078,6.81199,16.8036,17.1798,17.8161,19.0726,20.8711,23.3587,25.1625,26.6745,29.5749,35.308,38.3048,45.422,50.6255,35.489887,16.6232,17.4247,18.3649,19.49,20.8711,22.6248,24.9604,28.3015,34.6641,40.0477,44.6399,48.8539,52.8507,56.7094,60.4741
2,204.5,-2.215737645,20.90575839,0.147723315,6.839806,16.836,17.2123,17.8488,19.1059,20.9058,23.397,25.2048,26.7212,29.6335,35.39,38.3991,45.5453,50.7701,35.560203,16.6557,17.4573,18.3978,19.5235,20.9058,22.6619,25.0022,28.3543,34.7435,40.1491,44.7601,48.9912,53.0043,56.8788,60.6589
2,205.5,-2.223739902,20.93988477,0.147637768,6.867608,16.8679,17.2443,17.8809,19.1385,20.9399,23.4347,25.2467,26.7676,29.6919,35.4718,38.4931,45.6683,50.9144,35.630247,16.6875,17.4893,18.4301,19.5564,20.9399,22.6983,25.0435,28.4068,34.8227,40.2502,44.8799,49.1283,53.1577,57.0479,60.8434
2,206.5,-2.231667995,20.97342858,0.147559083,6.895394,16.8991,17.2756,17.9124,19.1706,20.9734,23.4719,25.288,26.8136,29.75,35.5533,38.5868,45.7911,51.0584,35.700044,16.7187,17.5206,18.4618,19.5888,20.9734,22.7342,25.0843,28.4591,34.9016,40.3511,44.9995,49.2651,53.3108,57.2167,61.0276
2,207.5,-2.239511942,21.00638171,0.147487716,6.923165,16.9298,17.3063,17.9432,19.202,21.0064,23.5086,25.3289,26.8592,29.808,35.6347,38.6804,45.9137,51.2022,35.769622,16.7493,17.5514,18.4929,19.6205,21.0064,22.7696,25.1247,28.511,34.9803,40.4518,45.1189,49.4016,53.4637,57.3853,61.2115
2,208.5,-2.247257081,21.0387374,0.14742421,6.95092,16.9597,17.3363,17.9734,19.2328,21.0387,23.5448,25.3694,26.9044,29.8658,35.7159,38.7738,46.0361,51.3458,35.839007,16.7792,17.5815,18.5233,19.6516,21.0387,22.8044,25.1646,28.5627,35.0589,40.5522,45.2381,49.538,53.6163,57.5537,61.3952
2,209.5,-2.254885145,21.07048996,0.147369174,6.978661,16.9889,17.3656,18.003,19.263,21.0705,23.5804,25.4094,26.9492,29.9235,35.7969,38.867,46.1583,51.4892,35.908227,16.8084,17.6109,18.5531,19.682,21.0705,22.8387,25.204,28.6141,35.1373,40.6526,45.3572,49.6742,53.7688,57.7219,61.5787
2,210.5,-2.26238209,21.10163241,0.147323144,7.006386,17.0175,17.3943,18.0318,19.2925,21.1016,23.6156,25.449,26.9937,29.9811,35.8778,38.9601,46.2804,51.6325,35.977311,16.837,17.6396,18.5822,19.7119,21.1016,22.8724,25.243,28.6653,35.2156,40.7528,45.476,49.8102,53.9211,57.8899,61.7621
